	|||		|||	
that ~be a fuse	|||	pro;dem|that cop|~be det;art|a n|fuse	|||	that 's a fuse
do ~not throw it dear	|||	mod|do neg|~not v|throw pro;per|it co|dear	|||	don 't throw it dear
but the one on top of the helicopter	|||	conj|but det;art|the pro;indef|one prep|on n|top prep|of det;art|the n|helicopter	|||	but the one on top of the helicopter
you ~have got a pen	|||	pro;per|you aux|~have part|get-PASTP det;art|a n|pen	|||	you 've got a pen
what time d you get up	|||	pro;int|what n|time v|do pro;per|you v|get adv|up	|||	what time d you get up
you do ~not have any bandana	|||	pro;per|you mod|do neg|~not v|have qn|any n|bandana	|||	you don 't have any bandana
not today one day	|||	neg|not adv;tem|today det;num|one n|day	|||	not today one day
can you put it together	|||	mod|can pro;per|you v|put-ZERO pro;per|it adv|together	|||	can you put it together
I think you can find it	|||	pro;sub|I v|think pro;per|you mod|can v|find pro;per|it	|||	I think you can find it
you ~be really getting very tall Adam	|||	pro;per|you aux|~be adv|real-dadj part|get-PRESP adv|very adj|tall n;prop|Adam	|||	you 're really getting very tall Adam
what d you do to a bottle	|||	pro;int|what mod|do pro;per|you v|do prep|to det;art|a n|bottle	|||	what d you do to a bottle
that ~be where the bell was	|||	pro;dem|that cop|~be adv;int|where det;art|the n|bell cop|be-PAST	|||	that 's where the bell was
because it ~be something he like to do	|||	conj|because pro;per|it aux|~be pro;indef|something pro;sub|he v|like inf|to v|do	|||	because it 's something he like to do
you move some of your toys	|||	pro;per|you v|move qn|some prep|of det;poss|your n|toy-PL	|||	you move some of your toys
you ask somebody to play with you	|||	pro;per|you v|ask pro;indef|somebody inf|to v|play prep|with pro;per|you	|||	you ask somebody to play with you
it ~be a pipe	|||	pro;per|it cop|~be det;art|a n|pipe	|||	it 's a pipe
down the	|||	prep|down det;art|the	|||	down the
what else happened	|||	pro;int|what post|else v|happen-PAST	|||	what else happened
now what d you do	|||	adv|now pro;int|what mod|do pro;per|you v|do	|||	now what d you do
oh that one ~be no good	|||	co|oh pro;dem|that pro;indef|one aux|~be qn|no adj|good	|||	oh that one 's no good
the fireman come to put the fire out so the house will ~not burn	|||	det;art|the n|fire+man v|come prep|to v|put-ZERO det;art|the n|fire adv|out co|so det;art|the n|house mod|will neg|~not v|burn	|||	the firemen come to put the fire out so the house won 't burn
that ~be no tunnel that ~be a microphone	|||	pro;dem|that cop|~be qn|no n|tunnel pro;rel|that aux|~be det;art|a n|microphone	|||	that 's no tunnel that 's a microphone
oh yes he likes to do that but that ~be very naughty be ~not it	|||	co|oh co|yes pro;sub|he v|like-3S inf|to v|do pro;dem|that conj|but pro;rel|that aux|~be adv|very adj|naughty cop|be neg|~not pro;per|it	|||	oh yes he likes to do that but that 's very naughty isn 't it
no no Adam you do ~not hit anybody with that	|||	co|no co|no n;prop|Adam pro;per|you mod|do neg|~not v|hit-ZERO pro;indef|anybody prep|with pro;dem|that	|||	no no Adam you don 't hit anybody with that
I can ~not put it together	|||	pro;sub|I mod|can neg|~not v|put-ZERO pro;per|it adv|together	|||	I can 't put it together
hold it at the top	|||	v|hold pro;per|it prep|at det;art|the n|top	|||	hold it at the top
a squirrel	|||	det;art|a n|squirrel	|||	a squirrel
careful Adam you may pull the ironing board down	|||	co|careful n;prop|Adam pro;per|you mod|may v|pull det;art|the part|iron-PRESP n|board adv|down	|||	careful Adam you may pull the ironing board down
oh what is he doing out in the sailboat anyway	|||	co|oh pro;int|what cop|be-3S pro;sub|he part|do-PRESP adv|out prep|in det;art|the n|sail+boat adv|anyway	|||	oh what is he doing out in the sailboat anyway
put your pajamas on	|||	v|put-ZERO det;poss|your n|pajamas adv|on	|||	put your pajamas on
a little girl with a dress	|||	det;art|a adj|little n|girl prep|with det;art|a n|dress	|||	a little girl with a dress
maybe we need a new page	|||	adv|maybe pro;sub|we v|need det;art|a adj|new n|page	|||	maybe we need a new page
what that piggie	|||	pro;int|what pro;dem|that n|pig-DIM	|||	what that piggie
what are you using it for Adam	|||	pro;int|what aux|be-PRES pro;per|you part|use-PRESP pro;per|it prep|for n;prop|Adam	|||	what are you using it for Adam
no no do ~not spread them all over the floor	|||	co|no co|no mod|do neg|~not v|spread-ZERO pro;obj|them adv|all prep|over det;art|the n|floor	|||	no no don 't spread them all over the floor
I do	|||	pro;sub|I v|do	|||	I do
which way d you want it	|||	pro;rel|which adv|way mod|do pro;per|you v|want pro;per|it	|||	which way d you want it
today be ~not Thursday	|||	adv;tem|today cop|be neg|~not n;prop|Thursday	|||	today isn 't Thursday
oh honey	|||	co|oh n|honey	|||	oh honey
I ~be sure you did	|||	pro;sub|I cop|~be adj|sure pro;per|you v|do-PAST	|||	I 'm sure you did
put the horse in your hand and lets see if the same thing happens	|||	v|put-ZERO det;art|the n|horse prep|in det;poss|your n|hand coord|and v|let-3S v|see conj|if det;art|the adj|same n|thing v|happen-3S	|||	put the horse in your hand and lets see if the same thing happens
he ~be happy now	|||	pro;sub|he cop|~be adj|happy adv|now	|||	he 's happy now
well what is that on the back of the train	|||	co|well pro;int|what cop|be-3S pro;dem|that prep|on det;art|the n|back prep|of det;art|the n|train	|||	well what is that on the back of the train
I will ~not bite	|||	pro;sub|I mod|will neg|~not v|bite	|||	I won 't bite
oh no I do ~not have any more cranberry juice	|||	co|oh co|no pro;sub|I mod|do neg|~not v|have qn|any qn|more n|cranberry n|juice	|||	oh no I don 't have any more cranberry juice
you look sleepy	|||	pro;per|you cop|look adj|sleep-dn	|||	you look sleepy
you must have a_lot_of noodles by now	|||	pro;per|you mod|must v|have qn|a_lot_of n|noodle-PL prep|by adv|now	|||	you must have a_lot_of noodles by now
see if there ~be a pad of paper in my bag	|||	v|see conj|if pro;exist|there cop|~be det;art|a n|pad prep|of n|paper prep|in det;poss|my n|bag	|||	see if there 's a pad of paper in my bag
when you pressed the button where were you Adam	|||	conj|when pro;per|you v|press-PAST det;art|the n|button pro;rel|where cop|be-PAST pro;per|you n;prop|Adam	|||	when you pressed the button where were you Adam
how do you know what we find at the carnival	|||	adv;int|how mod|do pro;per|you v|know pro;int|what pro;sub|we v|find prep|at det;art|the n|carnival	|||	how do you know what we find at the carnival
let Paul have one	|||	v|let-ZERO n;prop|Paul v|have pro;indef|one	|||	let Paul have one
button let you press	|||	n|button v|let-ZERO pro;per|you v|press	|||	button let you press
do ~not throw it dear you may crack it	|||	mod|do neg|~not v|throw pro;per|it n|dear pro;per|you mod|may v|crack pro;per|it	|||	don 't throw it dear you may crack it
it ~be my turn now	|||	pro;per|it cop|~be det;poss|my n|turn adv|now	|||	it 's my turn now
and it lights up	|||	coord|and pro;per|it v|light-3S adv|up	|||	and it lights up
do ~not go down	|||	mod|do neg|~not v|go adv|down	|||	don 't go down
we just had an a	|||	pro;sub|we adv|just v|have-PAST det;art|a n;let|a	|||	we just had an a
no no he ~be not bothering you	|||	co|no co|no pro;sub|he aux|~be neg|not part|bother-PRESP pro;per|you	|||	no no he 's not bothering you
do ~not you drop some on the floor	|||	mod|do neg|~not pro;per|you v|drop qn|some prep|on det;art|the n|floor	|||	didn 't you drop some on the floor
she ~genmod have_to throw it away	|||	pro;sub|she mod|~genmod mod;aux|have_to v|throw pro;per|it adv|away	|||	she 'd have_to throw it away
what kind of pies do I bake	|||	pro;int|what n|kind prep|of n|pie-PL v|do pro;sub|I v|bake	|||	what kind of pies do I bake
no this is when you want it to fly	|||	qn|no pro;dem|this cop|be-3S conj|when pro;per|you v|want pro;per|it prep|to n|fly	|||	no this is when you want it to fly
I think one did break in Cambridge	|||	pro;sub|I v|think det;num|one mod|do-PAST v|break prep|in n;prop|Cambridge	|||	I think one did break in Cambridge
it ~be turned out	|||	pro;per|it aux|~be part|turn-PASTP adv|out	|||	it 's turned out
I do ~not buy any cranberries I bought some strawberries	|||	pro;sub|I mod|do neg|~not v|buy qn|any n|cranberry-PL pro;sub|I v|buy-PAST qn|some n|strawberry-PL	|||	I didn 't buy any cranberries I bought some strawberries
I sneezed	|||	pro;sub|I v|sneeze-PAST	|||	I sneezed
how did you hurt it	|||	adv;int|how mod|do-PAST pro;per|you v|hurt-ZERO pro;per|it	|||	how did you hurt it
Paul can you find the block that goes in here the long block	|||	n;prop|Paul mod|can pro;per|you v|find det;art|the n|block pro;rel|that v|go-3S adv|in adv|here det;art|the adj|long n|block	|||	Paul can you find the block that goes in here the long block
I do ~not know what is it	|||	pro;sub|I mod|do neg|~not v|know pro;int|what aux|be-3S pro;per|it	|||	I don 't know what is it
it may pop	|||	pro;per|it mod|may n|pop	|||	it may pop
you ~be goto-PRESP ~to pull a trick on me	|||	pro;per|you aux|~be part|go+to-PRESP inf|~to v|pull det;art|a n|trick prep|on pro;obj|me	|||	you 're gonna  pull a trick on me
you painted it	|||	pro;per|you v|paint-PAST pro;per|it	|||	you painted it
Milly is a friend of ours and she spent the night	|||	n;prop|Milly cop|be-3S det;art|a n|friend prep|of pro;poss|ours coord|and pro;sub|she v|spend-PAST det;art|the n|night	|||	Milly is a friend of ours and she spent the night
no the wheel	|||	qn|no det;art|the n|wheel	|||	no the wheel
to go under the water	|||	inf|to v|go prep|under det;art|the n|water	|||	to go under the water
go out and get a paper towel	|||	v|go adv|out coord|and v|get det;art|a n|paper n|towel	|||	go out and get a paper towel
the paint came off in your mouth	|||	det;art|the n|paint v|come-PAST adv|off prep|in det;poss|your n|mouth	|||	the paint came off in your mouth
no that ~be an onion	|||	co|no pro;dem|that cop|~be det;art|a n|onion	|||	no that 's an onion
the people at the factory who made the car painted it	|||	det;art|the n|person-PL prep|at det;art|the n|factory pro;rel|who v|make-PAST det;art|the n|car v|paint-PAST pro;per|it	|||	the people at the factory who made the car painted it
oh you ~be showing pictures	|||	co|oh pro;per|you aux|~be part|show-PRESP n|picture-PL	|||	oh you 're showing pictures
what lives in that house	|||	pro;int|what n|life-PL prep|in pro;dem|that n|house	|||	what lives in that house
not today	|||	neg|not adv;tem|today	|||	not today
it ~be in your bed be ~not it	|||	pro;per|it aux|~be prep|in det;poss|your n|bed cop|be neg|~not pro;per|it	|||	it 's in your bed isn 't it
the light comes on	|||	det;art|the n|light v|come-3S adv|on	|||	the light comes on
do ~not put your fingers down there because it ~be very sharp	|||	mod|do neg|~not v|put-ZERO det;poss|your n|finger-PL adv|down adv|there conj|because pro;per|it cop|~be adv|very adj|sharp	|||	don 't put your fingers down there because it 's very sharp
yes when she goes home she ~will need to put the tape in the box	|||	co|yes conj|when pro;sub|she v|go-3S n|home pro;sub|she mod|~will v|need inf|to v|put-ZERO det;art|the n|tape prep|in det;art|the n|box	|||	yes when she goes home she 'll need to put the tape in the box
these letters	|||	pro;dem|these n|letter-PL	|||	these letters
Adam what about these cars	|||	n;prop|Adam det;int|what prep|about pro;dem|these n|car-PL	|||	Adam what about these cars
what do you see in the mirror	|||	pro;int|what mod|do pro;per|you v|see prep|in det;art|the n|mirror	|||	what do you see in the mirror
well you have it	|||	co|well pro;per|you v|have pro;per|it	|||	well you have it
a snake	|||	det;art|a n|snake	|||	a snake
what kind of fish did you catch	|||	pro;int|what n|kind prep|of n|fish mod|do-PAST pro;per|you v|catch	|||	what kind of fish did you catch
I just moved your glass so you will ~not knock it over	|||	pro;sub|I adv|just v|move-PAST det;poss|your n|glass conj|so pro;per|you mod|will neg|~not v|knock pro;per|it adv|over	|||	I just moved your glass so you wouldn 't knock it over
no that ~be a flamingo	|||	co|no pro;dem|that cop|~be det;art|a n|flamingo	|||	no that 's a flamingo
no in the bag where you got it	|||	co|no prep|in det;art|the n|bag pro;rel|where pro;per|you v|get-PAST pro;per|it	|||	no in the bag where you got it
is that a pig	|||	cop|be-3S pro;rel|that det;art|a n|pig	|||	is that a pig
I think you put the tongue depressor in there and other things like that	|||	pro;sub|I v|think pro;per|you v|put-ZERO det;art|the n|tongue n|depressor prep|in adv|there coord|and qn|other n|thing-PL prep|like pro;dem|that	|||	I think you put the tongue depressor in there and other things like that
why are you going to have_to love the birds	|||	adv;int|why aux|be-PRES pro;per|you part|go-PRESP inf|to mod;aux|have_to v|love det;art|the n|bird-PL	|||	why are you going to have_to love the birds
new one	|||	adj|new pro;indef|one	|||	new one
maybe it ~be a jet	|||	adv|maybe pro;per|it cop|~be det;art|a n|jet	|||	maybe it 's a jet
what about all your clothes	|||	pro;int|what prep|about qn|all det;poss|your n;pt|clothes	|||	what about all your clothes
here ~be another word Adam look	|||	pro;exist|here cop|~be qn|another n|word n;prop|Adam co|look	|||	here 's another word Adam look
those are all the same colors	|||	pro;dem|those cop|be-PRES qn|all det;art|the adj|same n|color-PL	|||	those are all the same colors
I do ~not take anything out	|||	pro;sub|I mod|do neg|~not v|take pro;indef|anything adv|out	|||	I didn 't take anything out
oh I ~be sorry	|||	co|oh pro;sub|I cop|~be adj|sorry	|||	oh I 'm sorry
because it would hurt Paul	|||	conj|because pro;per|it mod|will-COND part|hurt-PASTP n;prop|Paul	|||	because it would hurt Paul
here ~be your money Doctor	|||	pro;exist|here cop|~be det;poss|your n|money n;prop|Doctor	|||	here 's your money Doctor
in your garden	|||	prep|in det;poss|your n|garden	|||	in your garden
did you make another mistake	|||	v|do-PAST pro;per|you v|make qn|another n|mistake	|||	did you make another mistake
it carries money	|||	pro;per|it v|carry-3S n|money	|||	it carries money
well look at the one you have	|||	co|well cop|look prep|at det;art|the pro;indef|one pro;per|you v|have	|||	well look at the one you have
what ~be you tearing that for	|||	pro;int|what aux|~be pro;per|you part|tear-PRESP pro;dem|that prep|for	|||	what 're you tearing that for
no Adam you just shoot	|||	co|no n;prop|Adam pro;per|you adv|just co|shoot	|||	no Adam you just shoot
we ~be going to need some crackers and a bowl	|||	pro;sub|we aux|~be part|go-PRESP inf|to v|need qn|some n|cracker-PL coord|and det;art|a n|bowl	|||	we 're going to need some crackers and a bowl
this is cabbage	|||	pro;dem|this cop|be-3S n|cabbage	|||	this is cabbage
let me put it in here Adam	|||	v|let-ZERO pro;obj|me v|put-ZERO pro;per|it prep|in adv|here n;prop|Adam	|||	let me put it in here Adam
that ~be the um	|||	pro;dem|that cop|~be det;art|the |	|||	that 's the um
is that your brother	|||	cop|be-3S pro;rel|that det;poss|your n|brother	|||	is that your brother
well this is Paul ~s	|||	co|well pro;dem|this cop|be-3S n;prop|Paul poss|~s	|||	well this is Paul 's
a rolling caterpillar	|||	det;art|a part|roll-PRESP n|caterpillar	|||	a rolling caterpillar
